iter	Passed	Remaining
0	6	6529
1	12	6303
2	18	6213
3	24	5980
4	29	5960
5	36	6109
6	42	6003
7	47	5933
8	53	5922
9	59	5869
10	64	5834
11	69	5721
12	76	5807
13	83	5890
14	90	5912
15	95	5850
16	99	5755
17	105	5762
18	111	5739
19	118	5784
20	124	5808
21	130	5797
22	137	5841
23	145	5909
24	152	5951
25	160	6026
26	173	6238
27	179	6221
28	187	6286
29	194	6293
30	201	6283
31	206	6259
32	212	6232
33	219	6237
34	224	6203
35	231	6189
36	236	6152
37	242	6129
38	248	6130
39	256	6163
40	264	6198
41	274	6250
42	282	6298
43	290	6314
44	297	6317
45	303	6295
46	309	6267
47	316	6274
48	323	6276
49	329	6253
50	334	6228
51	342	6241
52	349	6250
53	358	6273
54	367	6316
55	377	6361
56	383	6340
57	389	6327
58	398	6350
59	405	6346
60	411	6330
61	416	6307
62	423	6293
63	428	6268
64	435	6267
65	443	6270
66	449	6256
67	455	6245
68	462	6242
69	470	6245
70	477	6249
71	483	6237
72	490	6227
73	496	6215
74	503	6211
75	510	6206
76	516	6196
77	523	6187
78	528	6166
79	534	6147
80	540	6137
81	549	6151
82	571	6309
83	578	6305
84	586	6308
85	592	6299
86	599	6287
87	608	6302
88	615	6299
89	621	6288
90	629	6287
91	636	6277
92	642	6267
93	649	6255
94	662	6314
95	671	6320
96	678	6313
97	685	6305
98	691	6289
99	697	6280
100	705	6276
101	712	6269
102	717	6249
103	723	6234
104	729	6216
105	735	6200
106	741	6186
107	751	6207
108	763	6240
109	774	6268
110	783	6271
111	789	6261
112	798	6266
113	805	6259
114	812	6252
115	819	6245
116	825	6230
117	832	6221
118	839	6212
119	846	6207
120	853	6200
121	860	6191
122	867	6183
123	872	6163
124	878	6152
125	884	6135
126	890	6119
127	896	6106
128	902	6091
129	908	6078
130	913	6062
131	920	6053
132	926	6037
133	931	6022
134	937	6005
135	943	5992
136	952	5997
137	959	5995
138	970	6011
139	978	6007
140	984	5997
141	991	5990
142	1000	5995
143	1007	5989
144	1015	5986
145	1022	5983
146	1029	5972
147	1036	5965
148	1042	5955
149	1049	5947
150	1056	5938
151	1062	5926
152	1068	5915
153	1073	5899
154	1079	5885
155	1086	5877
156	1092	5868
157	1099	5859
158	1105	5845
159	1111	5836
160	1118	5829
161	1125	5819
162	1130	5806
163	1143	5827
164	1149	5815
165	1160	5829
166	1168	5829
167	1174	5818
168	1183	5819
169	1188	5804
170	1195	5796
171	1201	5786
172	1208	5776
173	1214	5763
174	1219	5751
175	1226	5743
176	1234	5739
177	1241	5733
178	1248	5726
179	1259	5738
180	1278	5782
181	1296	5827
182	1331	5944
183	1408	6245
184	1441	6348
185	1455	6369
186	1480	6435
187	1497	6468
188	1507	6467
189	1517	6470
190	1526	6465
191	1534	6457
192	1541	6446
193	1548	6435
194	1556	6425
195	1566	6425
196	1577	6432
197	1588	6434
198	1597	6431
199	1615	6460
200	1634	6495
201	1642	6488
202	1656	6502
203	1665	6498
204	1677	6505
205	1691	6519
206	1712	6559
207	1727	6579
208	1742	6592
209	1771	6662
210	1799	6728
211	1837	6828
212	1855	6855
213	1869	6866
214	1888	6894
215	1904	6912
216	1925	6948
217	1938	6952
218	1951	6960
219	1971	6990
220	1980	6979
221	1988	6968
222	1997	6958
223	2005	6946
224	2013	6935
225	2022	6926
226	2034	6928
227	2049	6939
228	2058	6929
229	2066	6917
230	2074	6907
231	2083	6895
232	2090	6881
233	2099	6871
